Date,Close,High,Low,Open,Volume
2010-10-04,18.16349220275879,18.224265017469346,18.06473692220596,18.201474668601065,98143400
2010-10-05,18.497751235961914,18.573717648731908,18.163499889137213,18.277448783822805,78152900
2010-10-06,18.55852699279785,18.642090204870392,18.330627718674286,18.474963780725307,50489700
2010-10-07,18.634492874145508,18.80161784447839,18.444577542383097,18.702862509495095,50096100
2010-10-08,18.664878845214844,18.72565169430505,18.51294744695884,18.70286278148311,41327800
2010-10-11,18.680070877075195,18.794019778591768,18.611701246377475,18.794019778591768,27587800
2010-10-12,18.86239242553711,18.938358855008765,18.55852815658962,18.72565314227596,50141500
2010-10-13,19.24982261657715,19.401755496868443,18.907974360391396,19.006731167262537,75336500
2010-10-14,19.166244506835938,19.249807671011578,18.99152284441251,19.211825204898034,51949100
2010-10-15,19.401744842529297,19.409340178327536,19.166248862504908,19.265005615144435,68954800
2010-10-18,19.61445426940918,19.713211048481945,19.333380403608988,19.439732520512962,48330500
2010-10-19,19.067501068115234,19.272609989970118,18.953552150064446,19.196643561623222,66150900
2010-10-20,19.227031707763672,19.295401357073207,19.067503492000956,19.189049213231396,56283600
2010-10-21,19.310583114624023,19.401743074218288,19.029507900735243,19.295389546535247,50032400
2010-10-22,19.280197143554688,19.401744246671637,19.196635411893553,19.386550677664705,25837900
2010-10-25,19.135866165161133,19.25741184208102,19.120672593311458,19.17384864584656,50912400
2010-10-26,19.675228118896484,19.72840418006269,19.037112487024036,19.082693209971353,69304200
2010-10-27,19.78917694091797,19.834757663663815,19.462523788206674,19.591666271441927,64805500
2010-10-28,19.96389389038086,20.039858839939175,19.690415435367612,19.91071639717609,80730300
2010-10-29,20.260168075561523,20.66278910896548,20.115832014690067,20.62480517245245,114193200
2010-11-01,20.472869873046875,20.677977295387276,20.282954573478495,20.41969237205918,61912100
2010-11-02,20.807117462158203,20.829907817210724,20.526043661203357,20.5564293523348,54402100
2010-11-03,20.533645629882812,20.883089135272684,20.480468121335743,20.8602987744668,110255300
2010-11-04,20.617204666137695,20.83750711135717,20.518449346895743,20.822313539492633,93599300
2010-11-05,20.396907806396484,20.655192784719315,20.15381640301948,20.63999920977349,110953700
2010-11-08,20.366518020629883,21.93142126297984,20.191796278182878,20.267762694141233,71670800
2010-11-09,20.472869873046875,20.594415548855537,20.290549910395132,20.366516320010234,58538600
2010-11-10,20.46527671813965,20.571628841106527,20.36651993343697,20.51845277962309,52277300
2010-11-11,20.267759323120117,20.29814501508626,19.963895158765567,20.267759323120117,62073100
2010-11-12,19.95630645751953,20.146221818290126,19.82716395423796,20.108237876772478,64962200
2010-11-15,19.90313148498535,20.131029350891424,19.880341118819025,20.00188684049417,51794600
2010-11-16,19.727327346801758,19.903124091477736,19.605034846582917,19.903124091477736,65339200
2010-11-17,19.543895721435547,19.80376774360045,19.52860878887476,19.796124277320057,58299700
2010-11-18,19.750259399414062,19.933698165180054,19.574464097785203,19.65089582347308,59514000
2010-11-19,19.6356143951416,19.7426199994057,19.566824661588388,19.719689602273956,52423200
2010-11-22,19.666179656982422,19.67382311991674,19.44452506325313,19.60503341134936,53350500
2010-11-23,19.199939727783203,19.56681719483755,19.17700933940176,19.543886806456108,69742500
